Code,Name,Total fertility rate
51310,Cambridge,1.39
51330,Canning,1.46
51400,Capel,1.91
51470,Carnamah,0.00
51540,Carnarvon,2.13
51610,Chapman Valley,0.00
51680,Chittering,1.94
51750,Claremont,1.24
51820,Cockburn,1.74
51890,Collie,1.88
51960,Coolgardie,2.05
52030,Coorow,0.00
52100,Corrigin,0.00
52170,Cottesloe ,1.51
52240,Cranbrook,0.00
52310,Cuballing,0.00
52380,Cue,..
52450,Cunderdin,0.00
52520,Dalwallinu,0.00
52590,Dandaragan,1.80
52660,Dardanup,2.07
52730,Denmark,1.99
52800,Derby-West Kimberley,1.84
52870,Donnybrook-Balingup,2.03
52940,Dowerin,0.00
53010,Dumbleyung,0.00
53080,Dundas,0.00
53150,East Fremantle,1.47
53220,East Pilbara,1.31
53290,Esperance,2.02
53360,Exmouth,1.33
53430,Fremantle,1.52
53570,Gingin,1.43
53640,Gnowangerup,0.00
53710,Goomalling,0.00
53780,Gosnells,1.82
53800,Greater Geraldton,2.17
53920,Halls Creek,1.92
53990,Harvey,1.96
54060,Irwin,1.95
54130,Jerramungup,0.00
54170,Joondalup,1.71
54200,Kalamunda,1.82
54280,Kalgoorlie-Boulder,2.11
54310,Karratha,2.22
54340,Katanning,2.39
54410,Kellerberrin,0.00
54480,Kent,0.00
54550,Kojonup,2.46
54620,Kondinin,0.00
54690,Koorda,..
54760,Kulin,0.00
54830,Kwinana,2.16
54900,Lake Grace,0.00
54970,Laverton,0.00
55040,Leonora,0.00
55110,Mandurah,1.89
55180,Manjimup,1.82
55250,Meekatharra,1.90
55320,Melville,1.44
55390,Menzies,0.00
55460,Merredin,2.03
55530,Mingenew,0.00
55600,Moora,2.26
55670,Morawa,0.00
55740,Mosman Park,1.39
55810,Mount Magnet,0.00
55880,Mount Marshall,..
55950,Mukinbudin,0.00
56090,Mundaring,1.72
56160,Murchison,..
56230,Murray,1.92
56300,Nannup,0.00
56370,Narembeen,0.00
56460,Narrogin,1.93
56580,Nedlands,1.65
56620,Ngaanyatjarraku,..
56730,Northam,1.99
56790,Northampton,2.82
56860,Nungarin,..
56930,Peppermint Grove,1.45
57000,Perenjori,..
57080,Perth,0.82
57140,Pingelly,0.00
57210,Plantagenet,2.12
57280,Port Hedland,2.37
57350,Quairading,0.00
57420,Ravensthorpe,1.84
57490,Rockingham,1.91
57630,Sandstone,..
57700,Serpentine-Jarrahdale,2.15
57770,Shark Bay,0.00
57840,South Perth,1.20
57910,Stirling,1.55
57980,Subiaco,1.31
58050,Swan,1.92
58190,Tammin,0.00
58260,Three Springs,0.00
58330,Toodyay,1.85
58400,Trayning,..
58470,Upper Gascoyne,..
58510,Victoria Park,1.36
58540,Victoria Plains,0.00
58570,Vincent,1.21
58610,Wagin,2.86
58680,Wandering,0.00
58760,Wanneroo,1.88
58820,Waroona,1.85
58890,West Arthur,0.00
59030,Westonia,0.00
59100,Wickepin,0.00
59170,Williams,0.00
59250,Wiluna,..
59310,Wongan-Ballidu,0.00
59320,Woodanilling,..
59330,Wyalkatchem,..
59340,Wyndham-East Kimberley,2.14
59350,Yalgoo,..
59360,Yilgarn,0.00
59370,York,1.90
59999,Unknown WA,..
60210,Break O'Day,1.96
60410,Brighton,2.09
60610,Burnie,1.75
60810,Central Coast (Tas.),1.74
61010,Central Highlands (Tas.),2.15
61210,Circular Head,2.37
61410,Clarence,1.69
61510,Derwent Valley,1.77
61610,Devonport,1.70
61810,Dorset,1.83
62010,Flinders (Tas.),0.00
62210,George Town,1.72
62410,Glamorgan-Spring Bay,1.48
62610,Glenorchy,1.65
62810,Hobart,1.02
63010,Huon Valley,1.86
63210,Kentish,1.88
63410,King Island,2.08
63610,Kingborough,1.54
63810,Latrobe (Tas.),1.65
64010,Launceston,1.55
64210,Meander Valley,1.75
64610,Northern Midlands,1.84
64810,Sorell,1.80
65010,Southern Midlands,1.92
65210,Tasman,1.75
65410,Waratah-Wynyard,1.81
65610,West Coast,1.81
65810,West Tamar,1.76
69999,Unknown Tas,..
70200,Alice Springs,1.85
70420,Barkly,2.31
70540,Belyuen,..
70620,Central Desert,2.56
70700,Coomalie ,2.49
71000,Darwin,1.57
71150,Darwin Waterfront Precinct,
71300,East Arnhem,1.46
72200,Katherine,2.08
72300,Litchfield,1.87
72330,MacDonnell,1.72
72800,Palmerston,2.19
73600,Roper Gulf,1.41
74050,Tiwi Islands,1.65
74550,Victoria Daly,1.89
74560,Wagait,..
74660,West Arnhem,1.37
74680,West Daly,1.39
79399,Unincorporated NT,1.46
79999,Unknown NT,..
